date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated(1st Dose Only),people_fully_vaccinated,new_vaccinations
2020-01-30,1,1,,,,,,,,,
2020-01-31,1,0,,,,,,,,,
2020-02-01,1,0,,,,,,,,,
2020-02-02,2,1,,,,,,,,,
2020-02-03,3,1,,,,,,,,,
2020-02-04,3,0,,,,,,,,,
2020-02-05,3,0,,,,,,,,,
2020-02-06,3,0,,,,,,,,,
2020-02-07,3,0,,,,,,,,,
2020-02-08,3,0,,,,,,,,,
2020-02-09,3,0,,,,,,,,,
2020-02-10,3,0,,,,,,,,,
2020-02-11,3,0,,,,,,,,,
2020-02-12,3,0,,,,,,,,,
2020-02-13,3,0,,,,,,,,,
2020-02-14,3,0,,,,,,,,,
2020-02-15,3,0,,,,,,,,,
2020-02-16,3,0,,,,,,,,,
2020-02-17,3,0,,,,,,,,,
2020-02-18,3,0,,,,,,,,,
2020-02-19,3,0,,,,,,,,,
2020-02-20,3,0,,,,,,,,,
2020-02-21,3,0,,,,,,,,,
2020-02-22,3,0,,,,,,,,,
2020-02-23,3,0,,,,,,,,,
2020-02-24,3,0,,,,,,,,,
2020-02-25,3,0,,,,,,,,,
2020-02-26,3,0,,,,,,,,,
2020-02-27,3,0,,,,,,,,,
2020-02-28,3,0,,,,,,,,,
2020-02-29,3,0,,,,,,,,,
2020-03-01,3,0,,,,,,,,,
2020-03-02,5,2,,,,,,,,,
2020-03-03,5,0,,,,,,,,,
2020-03-04,28,23,,,,,,,,,
2020-03-05,30,2,,,,,,,,,
2020-03-06,31,1,,,,,,,,,
2020-03-07,34,3,,,,,,,,,
2020-03-08,39,5,,,,,,,,,
2020-03-09,43,4,,,,,,,,,
2020-03-10,56,13,,,,,,,,,
2020-03-11,62,6,1,1,,,,,,,
2020-03-12,73,11,1,0,,,,,,,
2020-03-13,82,9,2,1,,6500,,,,,
2020-03-14,102,20,2,0,,,,,,,
2020-03-15,113,11,2,0,,,,,,,
2020-03-16,119,6,2,0,,,,,,,
2020-03-17,142,23,3,1,,,,,,,
2020-03-18,156,14,3,0,,13125,,,,,
2020-03-19,194,38,4,1,191,13316,,,,,
2020-03-20,244,50,5,1,1060,14376,0.021,,,,
2020-03-21,330,86,4,-1,1325,15701,0.029,,,,
2020-03-22,396,66,7,3,1298,16999,0.036,,,,
2020-03-23,499,103,10,3,3708,20707,0.037,,,,
2020-03-24,536,37,10,0,157,20864,0.043,,,,
2020-03-25,657,121,12,2,4280,25144,0.042,,,,
2020-03-26,727,70,20,8,,,0.041,,,,
2020-03-27,887,160,20,0,,27688,0.048,,,,
2020-03-28,987,100,24,4,,,0.043,,,,
2020-03-29,1024,37,27,3,,,0.036,,,,
2020-03-30,1251,227,32,5,,,0.044,,,,
2020-03-31,1397,146,35,3,,,0.042,,,,
2020-04-01,1998,601,58,23,,,0.069,,,,
2020-04-02,2543,545,72,14,,47951,0.084,,,,
2020-04-03,2567,24,72,0,21294,69245,0.04,,,,
2020-04-04,3082,515,86,14,10705,79950,0.043,,,,
2020-04-05,3588,506,99,13,9584,89534,0.047,,,,
2020-04-06,4778,1190,136,37,11534,101068,0.056,,,,
2020-04-07,5311,533,150,14,12947,114015,0.054,,,,
2020-04-08,5916,605,178,28,13904,127919,0.047,,,,
2020-04-09,6725,809,226,48,16991,144910,0.043,,,,
2020-04-10,7598,873,246,20,16420,161330,0.055,,,,
2020-04-11,8446,848,288,42,18044,179374,0.054,,,,
2020-04-12,9205,759,331,43,16374,195748,0.053,,,,
2020-04-13,10453,1248,358,27,21806,217554,0.049,,,,
2020-04-14,11487,1034,393,35,27339,244893,0.047,,,,
2020-04-15,12322,835,405,12,29706,274599,0.044,,,,
2020-04-16,13430,1108,448,43,28357,302956,0.042,,,,
2020-04-17,14352,922,486,38,32167,335123,0.039,,,,
2020-04-18,15722,1370,521,35,37000,372123,0.038,,,,
2020-04-19,17615,1893,559,38,29463,401586,0.041,,,,
2020-04-20,18539,924,592,33,,,0.038,,,,
2020-04-21,20080,1541,645,53,,462621,0.039,,,,
2020-04-22,21370,1290,681,36,,,0.044,,,,
2020-04-23,23077,1707,721,40,,500542,0.049,,,,
2020-04-24,24530,1453,780,59,41247,541789,0.049,,,,
2020-04-25,26283,1753,825,45,38168,579957,0.051,,,,
2020-04-26,27890,1607,881,56,45352,625309,0.046,,,,
2020-04-27,29451,1561,939,58,40510,665819,0.047,,,,
2020-04-28,31324,1873,1008,69,50914,716733,0.044,,,,
2020-04-29,33062,1738,1079,71,54031,770764,0.04,,,,
2020-04-30,34863,1801,1154,75,59437,830201,0.036,,,,
2020-05-01,37257,2394,1223,69,72453,902654,0.035,,,,
2020-05-02,39699,2442,1323,100,73709,976363,0.034,,,,
2020-05-03,42505,2806,1391,68,70087,1046450,0.035,,,,
2020-05-04,46437,3932,1566,175,60783,1107233,0.038,,,,
2020-05-05,49400,2963,1693,127,84713,1191946,0.038,,,,
2020-05-06,52987,3587,1785,92,84835,1276781,0.039,,,,
2020-05-07,56351,3364,1889,104,80632,1357413,0.041,,,,
2020-05-08,59695,3344,1985,96,80375,1437788,0.042,,,,
2020-05-09,62808,3113,2101,116,85425,1523213,0.042,,,,
2020-05-10,67161,4353,2212,111,85824,1609037,0.044,,,,
2020-05-11,70768,3607,2294,82,64651,1673688,0.043,,,,
2020-05-12,74292,3524,2415,121,85891,1759579,0.044,,,,
2020-05-13,78055,3763,2551,136,94671,1854250,0.043,,,,
2020-05-14,81997,3942,2649,98,92791,1947041,0.043,,,,
2020-05-15,85784,3787,2753,104,92911,2039952,0.043,,,,
2020-05-16,90648,4864,2871,118,94325,2134277,0.046,,,,
2020-05-17,95698,5050,3025,154,93365,2227642,0.046,,,,
2020-05-18,100328,4630,3156,131,75150,2302792,0.047,,,,
2020-05-19,106475,6147,3302,146,101475,2404267,0.05,,,,
2020-05-20,112028,5553,3434,132,108121,2512388,0.052,,,,
2020-05-21,118226,6198,3584,150,103532,2615920,0.054,,,,
2020-05-22,124794,6568,3726,142,103514,2719434,0.057,,,,
2020-05-23,131423,6629,3868,142,115364,2834798,0.058,,,,
2020-05-24,138536,7113,4024,156,108623,2943421,0.06,,,,
2020-05-25,144950,6414,4172,148,90170,3033591,0.061,,,,
2020-05-26,150793,5843,4344,172,92528,3126119,0.061,,,,
2020-05-27,158086,7293,4534,190,116041,3242160,0.063,,,,
2020-05-28,165386,7300,4711,177,119976,3362136,0.063,,,,
2020-05-29,173491,8105,4980,269,121702,3483838,0.064,,,,
2020-05-30,181827,8336,5185,205,127761,3611599,0.065,,,,
2020-05-31,190609,8782,5408,223,125428,3737027,0.066,,,,
2020-06-01,198370,7761,5608,200,100180,3837207,0.066,,,,
2020-06-02,207191,8821,5829,221,128868,3966075,0.067,,,,
